STUDENTID,SCORE,GRADE,ASKS_QUESTIONS,LEAVES_EARLY,PARTICIPATION
65446,23.67,F,always,never,0.29
56400,69.76,C,always,rarely,0.48
93635,89.55,A,always,never,0.94
61757,30.96,D,sometimes,rarely,0.03
99790,95.38,A,always,rarely,0.29
69243,45.16,D,always,rarely,0.36
29403,90.26,A,always,always,0.09
54170,74.96,B,sometimes,never,0.26
28985,51.75,C,never,never,0.94
22677,39.01,D,always,always,0.44
90391,40.11,D,sometimes,always,0.01
49414,18.4,F,sometimes,always,0.32
16055,52.68,C,sometimes,always,0
76245,65.66,B,never,never,0.06
76517,45.74,D,always,always,0.41
84108,82.32,A,never,rarely,0.95
33236,85.05,A,always,never,0.75
22147,6.6,F,sometimes,always,0.71
38707,72.29,B,never,never,0.01
25676,38.2,D,always,never,0.18
74800,50.65,C,always,rarely,1
26347,88.96,A,always,rarely,0.56
61544,51.63,C,never,rarely,0.83
20049,28.74,F,never,always,0.13
96698,48.64,C,always,never,0.83
43935,10.28,F,never,never,0.84
27228,52.5,C,never,always,0.75
37838,52.31,C,sometimes,never,0.69
30518,44.12,C,always,never,0.84
88887,59.31,C,sometimes,always,0.42
84806,27.86,F,sometimes,rarely,0.24
87696,72.87,B,always,always,0.27
45016,49.16,D,always,always,0.07
74040,80.14,A,always,always,0.99
60194,8.34,F,sometimes,always,0.46
85588,36.75,D,sometimes,always,0.14
41284,89.24,A,always,rarely,0.41
89255,21.85,D,sometimes,rarely,0.87
27195,46.81,C,never,always,0.69
49254,34.27,D,always,never,0.95
64210,72.23,B,always,never,0.03
82226,15.73,F,always,rarely,0.46
27416,98.87,A,sometimes,never,0.23
70538,25.13,D,always,always,0.92
48959,42.3,D,never,always,0.53
23888,4.93,F,never,always,0
55307,23.97,F,always,never,0.57
32676,58.27,B,sometimes,never,0.73
33733,67.89,B,always,always,0.18
61153,42.38,C,always,never,0.84
10605,94.4,A,always,rarely,0.26
81385,28.55,F,never,always,0.07
67752,77.02,A,never,always,0.92
58739,27.33,D,always,always,0.86
38305,33.75,D,sometimes,rarely,0.15
98027,82.99,A,always,always,0.14
74054,22.23,F,always,always,0.71
98557,20.68,F,sometimes,rarely,0.66
41006,31.84,D,sometimes,never,0.55
61752,58.47,C,always,never,0.62
13236,39.64,D,sometimes,rarely,0.03
82043,72.93,B,always,never,0.23
73068,60.68,B,always,always,0.96
76003,97.03,A,always,always,0.35
40361,68.8,B,sometimes,rarely,0.69
66421,38.77,D,always,never,0.34
45679,65.09,B,sometimes,never,0.71
53279,4.89,F,never,never,0.67
42738,35.4,D,always,rarely,0.85
35120,19.51,F,never,rarely,1
92789,41.62,D,always,always,0.4
44374,17.47,F,sometimes,rarely,0.57
13367,87.87,A,sometimes,never,0.16
44671,29.95,F,never,rarely,0.12
73273,40.78,D,sometimes,always,0.19
43580,53.91,C,never,never,0.78
81589,55.63,C,sometimes,always,0.89
86087,62.36,C,never,rarely,0.34
12106,13.18,F,never,never,0.97
29876,37.57,D,sometimes,never,0.78
62935,48.77,D,never,rarely,0.07
31436,70.18,B,sometimes,never,0.66
86653,51.78,C,sometimes,rarely,0.96
58179,62.26,C,sometimes,rarely,0.37
56267,10.34,F,always,always,0.53
42720,78.72,B,always,rarely,0.44
65143,27.81,D,never,always,0.76
25949,36.3,D,sometimes,always,0.77
86177,31.22,D,never,never,0.82
44587,38.25,D,always,rarely,0.55
25450,65.86,C,always,never,0.45
32696,72.93,A,always,rarely,0.67
62469,92.68,A,always,always,0.46
11790,25.97,F,sometimes,always,0.46
57346,80.64,A,always,rarely,0.18
24870,39.64,D,sometimes,rarely,0.63
69097,74.9,B,always,never,0.09
84434,23.3,F,never,always,0.44
12207,16.69,F,always,always,0.47
89439,53.39,D,sometimes,never,0.36
64865,87.18,A,always,always,0.71
55045,59.97,B,always,never,0.62
85079,60.17,C,never,rarely,0.13
13790,48.33,D,never,never,0.29
41036,64.41,C,never,rarely,0.23
23247,49.1,D,sometimes,always,0.27
49077,1.22,F,always,rarely,0.36
33309,66.72,C,sometimes,rarely,0.39
23387,6.26,F,sometimes,never,0.86
28012,45.67,D,always,always,0.21
34593,49.24,D,always,always,0.35
86332,13.11,F,never,rarely,0.27
73602,81.02,B,never,always,0.32
90017,41.72,D,never,always,0.81
46281,70.86,B,sometimes,never,0.03
55857,65.12,C,never,never,0.43
60986,74.12,A,sometimes,rarely,0.95
95132,72.06,A,always,never,0.99
76029,42.85,D,sometimes,always,0.28
23518,8.27,F,always,always,0.45
90660,66.59,B,never,rarely,0.79
74372,65.44,B,sometimes,rarely,0.6
39443,67.53,B,always,always,0.13
53890,47.8,C,never,rarely,0.68
39743,9.31,F,sometimes,rarely,0.61
52883,29.55,D,never,always,0.84
35502,56.54,C,sometimes,never,0.48
62649,44.56,C,never,rarely,0.87
88769,46.36,C,always,rarely,0.85
26370,84.99,A,never,rarely,0.85
15923,67.56,B,sometimes,always,0.9
81439,45.64,D,sometimes,rarely,0.07
18389,15.39,F,always,always,0.16
57146,47.63,C,always,rarely,0.65
29161,50.12,D,always,rarely,0.16
85723,42.17,D,never,always,0.09
32279,61.94,C,sometimes,never,0.18
41711,81.6,A,never,always,0.81
10847,87.18,A,always,rarely,0.4
43511,12.77,F,sometimes,rarely,0.22
83444,37.09,D,sometimes,always,0.07
62395,50.4,C,always,never,0.81
93338,60.64,C,never,rarely,0.49
78703,91.97,A,sometimes,never,0.25
31166,30.24,F,sometimes,rarely,0.28
17464,36.38,D,always,rarely,0.84
65383,86.65,A,never,never,0.03
35016,56.76,C,always,never,0.67
31836,56.18,C,always,always,0.49
96840,73.14,A,always,never,0.71
56493,21.61,F,never,always,0.52
38589,14.71,F,always,never,0.46
79291,53.18,C,sometimes,never,0.73
21605,14.64,F,sometimes,always,0.74
50303,53.95,C,sometimes,always,0.77
91584,46.37,C,always,rarely,0.65
76607,73.08,A,sometimes,never,0.76
82885,37.93,D,always,always,0.28
96789,52.53,D,never,rarely,0.32
46486,11.83,F,always,rarely,0.07
46478,52.31,C,always,rarely,0.53
56444,33.01,D,always,rarely,0.6
60462,65.96,B,never,rarely,0.81
95390,97.28,A,always,never,0.22
52029,38.91,D,always,rarely,0.63
39130,41.65,D,sometimes,always,0.76
82608,77.89,B,always,always,0.48
40810,40.08,D,sometimes,always,0.89
26940,34.92,D,sometimes,rarely,0.76
19816,29.98,D,sometimes,never,0.83
96367,63.66,B,sometimes,never,0.55
31553,10.61,F,always,rarely,0.13
59796,71.24,B,never,always,0.59
39822,23.96,D,sometimes,never,0.69
69290,25.47,D,always,rarely,0.95
44958,15.23,F,never,always,0.24
84727,29.47,D,never,rarely,0.61
34806,73.54,A,always,always,0.95
49552,3.68,F,never,always,0.28
71774,43.97,D,always,rarely,0.33
62597,45.77,C,sometimes,never,0.91
32306,83.91,A,always,always,0.11
88593,58.43,C,sometimes,never,0.29
42481,20.92,F,sometimes,never,0.57
24404,70.88,B,sometimes,always,0.47
89587,95.57,A,sometimes,rarely,0.29
60889,41.19,D,never,always,0.79
69880,86.43,A,sometimes,never,0.53
48221,19.74,F,sometimes,always,0.23
77165,14.41,F,sometimes,always,0.35
85497,50.2,D,never,rarely,0.35
36347,18.24,F,always,rarely,0.63
76718,44.96,C,always,rarely,0.75
28748,36.58,D,always,never,0.13
47187,78.83,B,sometimes,rarely,0.24
51981,12.37,F,sometimes,never,0.69
66104,22.1,F,never,always,0.29
71279,93.11,A,always,never,0.84
34162,80.72,A,sometimes,always,0.53
98457,50.52,C,sometimes,never,0.54
54269,20.64,F,always,rarely,0.91
15971,97.85,A,never,never,0.05
19142,41.89,D,sometimes,always,0.44
13673,36.77,D,sometimes,always,0.17
70138,56.26,C,always,rarely,0.73
53343,39.03,D,sometimes,rarely,0.17
25270,34.78,D,never,never,0.39
96820,46.59,C,sometimes,never,0.86
18043,33.44,D,sometimes,never,0.28
39063,52.07,D,never,rarely,0.43
17025,64.57,C,sometimes,never,0.03
27530,43.17,D,sometimes,always,0.11
38596,23.97,F,always,always,0.4
40135,13.38,F,never,never,0.38
26112,11.06,F,never,never,0.48
95956,40.02,D,always,never,0.15
53469,3.17,F,sometimes,never,0.57
18851,23.92,F,always,never,0.13
75175,43.35,D,always,never,0.29
20891,7.7,F,never,rarely,0.99
80599,17.83,F,never,rarely,0.5
94686,65.85,B,sometimes,never,0.64
31765,58.71,B,always,rarely,0.95
76010,81.58,A,sometimes,rarely,0.14
30046,38.2,D,sometimes,rarely,0.19
72996,87.11,A,sometimes,always,0.97
93232,47.33,C,never,rarely,0.79
46225,54.55,C,always,rarely,0.88
66017,72.82,B,never,never,0.16
66754,67.51,B,sometimes,always,0.24
14193,41.55,D,sometimes,never,0.38
91959,56.57,C,never,never,0.4
74708,53.05,C,sometimes,always,0.78
91963,84.3,A,always,always,0.87
39423,21.59,F,sometimes,rarely,0.49
85149,41.38,D,never,always,0.21
97235,36.4,D,always,always,0.37
35961,17.43,F,always,never,0.94
33387,50.53,D,sometimes,always,0.26
28744,10.65,F,never,never,0.29
65198,82.62,A,sometimes,never,0.63
78490,53.4,C,always,always,0.15
24047,18.87,F,never,rarely,0.28
59151,70.4,B,always,always,0
36074,34.92,D,sometimes,rarely,0.88
37665,50.02,C,always,always,0.7
47692,95.33,A,always,rarely,0.18
49388,31.3,F,sometimes,always,0.37
54370,23.12,D,never,never,0.74
15411,85.32,A,never,always,0.96
10174,17.55,F,never,always,0.21
28737,53.52,C,never,always,0.34
82019,83.2,A,never,always,0.75
33579,92.01,A,never,never,0.03
70025,36.91,D,always,rarely,0.15
74995,76.95,A,never,always,0.9
96887,30.47,D,always,always,0.82
89632,29.06,D,sometimes,never,0.88
25944,91.34,A,sometimes,rarely,0.2
17220,68.27,B,sometimes,always,0.9
28887,80.24,A,never,always,0.59
39788,19.9,F,always,rarely,0.83
52544,28.82,F,always,rarely,0.25
31490,20.75,F,never,rarely,0.17
75414,94.51,A,sometimes,rarely,0.18
85043,21.37,F,sometimes,always,0.59
33316,45.64,C,always,always,0.78
92890,53.39,C,never,always,0.89
94650,94.89,A,never,never,0.42
14313,31.31,D,never,rarely,0.67
49329,36.03,D,always,always,0.2
10638,3.08,F,sometimes,never,0.07
90896,95.42,A,never,always,0.6
28107,69.42,B,never,always,0.57
97735,71.55,B,always,always,0.5
20950,39.48,D,always,never,0.95
49265,31.81,D,always,always,0.76
15653,22.13,F,always,never,0.27
53532,81.04,A,always,never,0.49
45592,40.61,D,sometimes,never,0.14
55618,31.53,D,never,always,0.83
83289,52.26,C,always,rarely,0.73
23495,69.86,A,always,always,0.85
77947,98.06,A,sometimes,rarely,0.64
57663,84.23,A,never,always,0.15
19043,88.26,A,sometimes,rarely,0.9
29927,22.01,F,always,rarely,0.23
91149,15.87,F,sometimes,never,0.67
62176,54.04,C,sometimes,rarely,0.63
82705,67.48,B,always,never,0.65
80389,18.8,F,sometimes,never,0.95
24852,49.23,D,sometimes,always,0.19
71850,7.58,F,never,rarely,0.96
26642,45.86,C,never,always,0.69
96349,53.91,D,always,rarely,0.5
75373,54.3,C,always,always,0.6
80315,39.72,D,sometimes,never,0.87
80489,46.51,D,sometimes,always,0.19
17103,73.86,A,sometimes,never,0.74
31808,56.22,C,always,always,0.66
79968,82.05,A,sometimes,never,0.8
51221,49.36,D,sometimes,never,0.28
38928,92.54,A,sometimes,never,0.06
80666,69.3,B,always,always,0.57
20909,29.56,D,sometimes,always,0.62
67838,60.46,C,never,never,0.22
41508,25.74,F,always,always,0.19
50979,56.13,C,never,always,0.66
24861,25.36,F,sometimes,never,0.44
46048,41.38,D,never,always,0.73
57965,37.5,D,never,rarely,0.25
97935,61.23,B,always,rarely,0.98
68054,9.05,F,always,rarely,0.72
75290,53.03,C,never,never,0.03
82432,87.94,A,always,always,0.56
18016,9.53,F,never,never,0.4
90181,61.74,C,never,rarely,0.01
83599,97.72,A,never,rarely,0.89
22068,80.02,A,always,always,0.33
80647,59.93,B,sometimes,rarely,0.97
23328,43.1,C,sometimes,never,0.95
95578,45.98,D,sometimes,never,0.09
84573,36.2,D,never,always,0.94
71984,15.87,F,sometimes,rarely,0.55
89487,52.92,C,sometimes,never,0.81
66368,25.59,F,sometimes,never,0.27
40391,80.65,A,always,always,0.84
36497,16.12,F,never,never,0.01
78288,8.74,F,never,always,0.27
88337,28.14,F,always,never,0.49
15044,18.02,F,sometimes,rarely,0.81
24375,59.83,C,always,rarely,0.1
29858,95.06,A,never,never,0.76
99766,26.67,D,always,rarely,0.72
59285,28.09,F,always,always,0.39
81647,32.3,D,sometimes,never,0.93
97928,48.99,C,sometimes,never,0.84
84963,58.14,C,never,rarely,0.3
74952,8.83,F,always,rarely,0.85
68775,81.37,B,sometimes,rarely,0.3
70780,72.84,A,sometimes,never,0.78
61265,52.02,C,never,always,0.07
39845,95.16,A,never,never,0.21
68645,42.46,D,always,rarely,0.03
47141,51.28,C,never,rarely,0.69
87651,17.2,F,sometimes,never,0.17
70017,45.02,D,sometimes,always,0.29
79333,40.84,D,always,never,0.65
71369,13.48,F,never,never,0.87
60977,76.06,B,always,rarely,0.36
31407,51.01,C,sometimes,always,0.95
74889,45.8,C,sometimes,rarely,0.55
83915,43.53,D,never,always,0.14
86097,43.78,D,always,always,0.53
80476,92.57,A,sometimes,always,0.98
93968,78.66,A,always,always,0.27
77046,3.7,F,sometimes,never,0.87
99769,37.5,D,always,rarely,0.7
63349,89.91,A,never,rarely,0.17
49578,36.6,D,never,always,0.59
86191,18.47,F,never,always,0.54
18889,74.56,A,sometimes,never,0.58
97207,44.76,C,always,never,0.62
46045,33.94,F,sometimes,rarely,0.47
92711,26.27,D,sometimes,rarely,0.88
90982,40.02,D,never,always,0.76
22116,71.92,B,never,never,0.17
23507,17.42,F,sometimes,rarely,0.4
83533,95.76,A,always,always,0.46
69220,31.59,F,sometimes,always,0.46
45987,17.29,F,sometimes,rarely,0.24
83638,92.11,A,sometimes,rarely,0.58
71724,8.7,F,never,always,0.78
50827,40.14,D,always,never,0.61
83605,35.99,D,always,always,0.27
75487,78.31,A,always,never,0.25
53869,34.09,F,always,never,0.5
59896,69.91,A,always,always,0.83
44907,17.61,F,always,rarely,0.19
75452,51.92,C,never,rarely,0.75
42268,66.14,C,always,never,0.18
94084,54.96,C,never,always,0.9
51697,63.48,C,always,rarely,0.41
15963,84.61,A,always,always,0.66
32217,41.68,D,sometimes,always,0.27
48057,27.16,F,sometimes,rarely,0.48
41724,62.15,C,sometimes,always,0.25
81429,69.96,B,never,rarely,0.82
67231,64.96,C,sometimes,rarely,0.27
13084,64.79,B,sometimes,never,0.88
37182,65.24,B,sometimes,always,0.78
27610,67.53,B,always,rarely,0.57
81484,67.37,C,always,never,0.48
64043,42.27,D,sometimes,never,0.75
53937,61.86,C,never,never,0.22
71100,52,C,never,rarely,0.2
93279,69.61,B,sometimes,always,0.65
93021,66.44,B,sometimes,rarely,0.77
89975,59.33,B,never,rarely,0.75
16973,45.13,C,sometimes,never,0.94
96704,60.2,B,always,rarely,0.87
31394,61.34,B,never,never,0.84
35566,57.01,C,sometimes,never,0.61
22788,49.48,D,always,rarely,0.33
56663,58.74,B,never,always,0.97
98185,41.93,D,sometimes,always,0.62
75814,17.91,F,always,always,0.52
97106,93.24,A,always,never,0.61
59419,87.4,A,always,never,0.82
29113,79.2,A,never,never,0.94
79620,22.36,F,sometimes,always,0.48
59734,44.02,C,never,never,0.95
42006,31.53,D,always,rarely,0.07
17761,94.69,A,always,never,0.62
20555,2.12,F,never,always,0.68
47119,77.55,A,never,always,0.87
97051,94.89,A,never,always,0.71
